t,y
0.0,6.048589819453444e-05
0.01,0.10661262786265507
0.02,0.21208598893905867
0.03,0.31503072001269533
0.04,0.41440229993679606
0.05,0.5091186101692227
0.06,0.5979723350535631
0.07,0.6799734105565344
0.08,0.754321620961227
0.09,0.8199730802264136
0.1,0.8763272921857816
0.11,0.9227179070417488
0.12,0.958552480647266
0.13,0.9834789502142163
0.14,0.997178392312475
0.15,0.9995268845383269
0.16,0.9905468961791494
0.17,0.9701407325891217
0.18,0.9387494229539498
0.19,0.8967166045581678
0.2,0.8443629629160514
0.21,0.7824065668370767
0.22,0.7115423980950649
0.23,0.6326541155812183
0.24,0.5464773370822685
0.25,0.4540612087522261
0.26,0.35646520105080376
0.27,0.2548122285529243
0.28,0.15026087795474155
0.29,0.04402083597886596
0.3,-0.06278553280405928
0.31,-0.16882733665901653
0.32,-0.27288949059806905
0.33,-0.37394258087833604
0.34,-0.470673661094471
0.35000000000000003,-0.5620727439233552
0.36,-0.6469797295484649
0.37,-0.7245990624774031
0.38,-0.7939178419306707
0.39,-0.8542535693820418
0.4,-0.9047874413593483
0.41000000000000003,-0.9449893601212631
0.42,-0.9744725805326065
0.43,-0.9928158652363986
0.44,-0.9999105763946011
0.45,-0.9955274617186846
0.46,-0.9798002995329158
0.47000000000000003,-0.9529705071191259
0.48,-0.915237110456252
0.49,-0.8670233221435429
0.5,-0.8089713718250671
0.51,-0.7417138972504482
0.52,-0.6659310522971811
0.53,-0.5826661248322864
0.54,-0.49269209854712553
0.55,-0.39710164391851605
0.56,-0.29703088362287383
0.5700000000000001,-0.19348130056157298
0.58,-0.0878317807141632
0.59,0.0188505405113246
0.6,0.12535215147928597
0.61,0.23041004116894487
0.62,0.33290032910314377
0.63,0.43146246656014686
0.64,0.5252109497409524
0.65,0.6129218168595971
0.66,0.6936963093637104
0.67,0.7665057141092226
0.68,0.8306225506446919
0.6900000000000001,0.885287815849371
0.7000000000000001,0.9298047081890063
0.71,0.9637554852725687
0.72,0.9867723319304323
0.73,0.9984152752538236
0.74,0.9987732810056339
0.75,0.9877632665100826
0.76,0.9654261154635739
0.77,0.9321424900179094
0.78,0.8881987379661161
0.79,0.8340925332519031
0.8,0.7705993491413569
0.81,0.6981787863399741
0.8200000000000001,0.6179265357469016
0.8300000000000001,0.5305307032355507
0.84,0.4371161961805334
0.85,0.338770520972468
0.86,0.23650458164639482
0.87,0.13164650916823015
0.88,0.025152224119265505
0.89,-0.08157085261682573
0.9,-0.18735593400017408
0.91,-0.29098212120725897
0.92,-0.39133533147046945
0.93,-0.4872230656293606
0.9400000000000001,-0.5775675797341014
0.9500000000000001,-0.6612868945222261
0.96,-0.7374598876816636
0.97,-0.8052501129290675
0.98,-0.863920645997939
0.99,-0.912613183733182
1.0,-0.9509868985901683
1.01,-0.9785742691385952
1.02,-0.9949268340555335
1.03,-0.9999037609638664
1.04,-0.9935444285907047
1.05,-0.9758316967253723
1.06,-0.9470318883211006
1.07,-0.9074340063625074
1.08,-0.857462413266594
1.09,-0.7977626023449357
1.1,-0.7289305552092223
1.11,-0.6517511496590592
1.12,-0.5671873513360873
1.1300000000000001,-0.47622788953973755
1.1400000000000001,-0.37977303004592927
1.1500000000000001,-0.27895972888817144
1.16,-0.17502092977440117
1.17,-0.06902983244611886
1.18,0.03773407517424849
1.19,0.14403761519877253
1.2,0.2486981327244241
1.21,0.35057577805450596
1.22,0.44839510574678715
1.23,0.5411847788666894
1.24,0.6277423836274721
1.25,0.7071126317674774
1.26,0.7785018426078404
1.27,0.8409723884561133
1.28,0.8938947799861012
1.29,0.93663012792357
1.3,0.9686124577958918
1.31,0.9895879238989316
1.32,0.9993650172357065
1.33,0.9976909203214104
1.34,0.9845648593822045
1.35,0.9603044641991717
1.36,0.9251470022565725
1.37,0.8793234894617784
1.3800000000000001,0.823567967964277
1.3900000000000001,0.7584327669265859
1.4000000000000001,0.6845581514303829
1.41,0.6029655268853477
1.42,0.5145246406578896
1.43,0.4201047632966118
1.44,0.3210249655521266
1.45,0.218209030470735
1.46,0.1128584989894081
1.47,0.006325008106316361
1.48,-0.10030401902849112
1.49,-0.20578002259596484
1.5,-0.30893541196406504
1.51,-0.4085708947124727
1.52,-0.5035910037298906
1.53,-0.5928054649535596
1.54,-0.6752974537526519
1.55,-0.7500495440635012
1.56,-0.8163094796597797
1.57,-0.8732318221437735
1.58,-0.9202177683578914
1.59,-0.9567042116256911
1.6,-0.9822608162299872
1.61,-0.9965858770844163
1.62,-0.9996255795305982
1.6300000000000001,-0.9912816483300607
1.6400000000000001,-0.9716191412376288
1.6500000000000001,-0.9408331970676722
1.6600000000000001,-0.8993541128702597
1.67,-0.8476496815173569
1.68,-0.7862245064691178
