,time,y
0,0.0,0.0
1,0.01,0.5621439437571739
2,0.02,1.104373658054034
3,0.03,1.60748038493699
4,0.04,2.053641317786066
5,0.05,2.4270509831248424
6,0.06,2.7144811573980587
7,0.07,2.9057494833858932
8,0.08,2.9940801852848145
9,0.09,2.9763441039434335
10,0.1,2.853169548885461
11,0.11,2.6289200401315913
12,0.12,2.311539728327368
13,0.13,1.9122719692460697
14,0.14,1.4452610223051456
15,0.15,0.9270509831248426
16,0.16,0.3759997006929123
17,0.17,-0.18837155858794002
18,0.18,-0.7460696614945637
19,0.19,-1.277337874695218
20,0.2,-1.7633557568774192
21,0.21,-2.186905882264234
22,0.22,-2.532983776506044
23,0.23,-2.7893294576647545
24,0.24,-2.946861752186066
25,0.25,-3.0
26,0.26,-2.946861752186066
27,0.27,-2.7893294576647536
28,0.28,-2.532983776506045
29,0.29,-2.186905882264236
30,0.3,-1.76335575687742
31,0.31,-1.277337874695219
32,0.32,-0.7460696614945634
33,0.33,-0.1883715585879398
34,0.34,0.37599970069291255
35,0.35000000000000003,0.927050983124844
36,0.36,1.4452610223051447
37,0.37,1.9122719692460675
38,0.38,2.311539728327368
39,0.39,2.628920040131591
40,0.4,2.8531695488854605
41,0.41000000000000003,2.9763441039434335
42,0.42,2.9940801852848145
43,0.43,2.9057494833858932
44,0.44,2.71448115739806
45,0.45,2.427050983124843
46,0.46,2.0536413177860653
47,0.47000000000000003,1.607480384936987
48,0.48,1.104373658054034
49,0.49,0.562143943757177
50,0.5,1.102182119232618e-15
51,0.51,-0.5621439437571749
52,0.52,-1.1043736580540318
53,0.53,-1.6074803849369896
54,0.54,-2.0536413177860675
55,0.55,-2.4270509831248415
56,0.56,-2.714481157398059
57,0.5700000000000001,-2.905749483385894
58,0.58,-2.9940801852848145
59,0.59,-2.976344103943434
60,0.6,-2.8531695488854614
61,0.61,-2.628920040131593
62,0.62,-2.3115397283273693
63,0.63,-1.9122719692460692
64,0.64,-1.4452610223051443
65,0.65,-0.9270509831248437
66,0.66,-0.375999700692912
67,0.67,0.1883715585879429
68,0.68,0.746069661494564
69,0.6900000000000001,1.2773378746952195
70,0.7000000000000001,1.7633557568774223
71,0.71,2.1869058822642313
72,0.72,2.532983776506044
73,0.73,2.789329457664754
74,0.74,2.9468617521860656
75,0.75,3.0
76,0.76,2.9468617521860656
77,0.77,2.7893294576647554
78,0.78,2.5329837765060454
79,0.79,2.1869058822642335
80,0.8,1.7633557568774207
81,0.81,1.2773378746952178
82,0.8200000000000001,0.746069661494562
83,0.8300000000000001,0.18837155858793558
84,0.84,-0.3759997006929088
85,0.85,-0.9270509831248354
86,0.86,-1.445261022305146
87,0.87,-1.912271969246067
88,0.88,-2.3115397283273635
89,0.89,-2.6289200401315913
90,0.9,-2.85316954888546
91,0.91,-2.976344103943433
92,0.92,-2.9940801852848145
93,0.93,-2.9057494833858937
94,0.9400000000000001,-2.7144811573980556
95,0.9500000000000001,-2.4270509831248406
96,0.96,-2.0536413177860657
97,0.97,-1.6074803849369927
98,0.98,-1.10437365805404
99,0.99,-0.5621439437571729
100,1.0,-2.204364238465236e-15
101,1.01,0.5621439437571686
102,1.02,1.1043736580540358
103,1.03,1.607480384936989
104,1.04,2.053641317786063
105,1.05,2.427050983124844
106,1.06,2.7144811573980583
107,1.07,2.9057494833858923
108,1.08,2.994080185284815
109,1.09,2.9763441039434335
110,1.1,2.853169548885462
111,1.11,2.6289200401315886
112,1.12,2.311539728327366
113,1.1300000000000001,1.912271969246062
114,1.1400000000000001,1.4452610223051405
115,1.1500000000000001,0.9270509831248397
116,1.16,0.37599970069292377
117,1.17,-0.1883715585879365
118,1.18,-0.7460696614945577
119,1.19,-1.2773378746952089
120,1.2,-1.7633557568774174
121,1.21,-2.186905882264231
122,1.22,-2.53298377650604
123,1.23,-2.7893294576647536
124,1.24,-2.946861752186065
125,1.25,-3.0
126,1.26,-2.946861752186066
127,1.27,-2.789329457664756
128,1.28,-2.5329837765060432
129,1.29,-2.1869058822642344
130,1.3,-1.7633557568774219
131,1.31,-1.2773378746952138
132,1.32,-0.746069661494563
133,1.33,-0.188371558587942
134,1.34,0.37599970069291827
135,1.35,0.9270509831248446
136,1.36,1.4452610223051452
137,1.37,1.9122719692460741
138,1.3800000000000001,2.3115397283273698
139,1.3900000000000001,2.628920040131591
140,1.4000000000000001,2.8531695488854627
141,1.41,2.9763441039434326
142,1.42,2.9940801852848153
143,1.43,2.905749483385894
144,1.44,2.714481157398061
145,1.45,2.4270509831248472
146,1.46,2.0536413177860666
147,1.47,1.6074803849369936
148,1.48,1.1043736580540409
149,1.49,0.562143943757174
150,1.5,3.3065463576978537e-15
151,1.51,-0.5621439437571675
152,1.52,-1.1043736580540346
153,1.53,-1.6074803849369879
154,1.54,-2.0536413177860617
155,1.55,-2.4270509831248432
156,1.56,-2.7144811573980583
157,1.57,-2.9057494833858923
158,1.58,-2.994080185284815
159,1.59,-2.9763441039434335
160,1.6,-2.853169548885462
161,1.61,-2.6289200401315886
162,1.62,-2.3115397283273675
163,1.6300000000000001,-1.912271969246063
164,1.6400000000000001,-1.4452610223051414
165,1.6500000000000001,-0.9270509831248407
166,1.6600000000000001,-0.37599970069290367
167,1.67,0.18837155858793536
168,1.68,0.7460696614945567
169,1.69,1.2773378746952078
170,1.7,1.7633557568774076
171,1.71,2.18690588226423
172,1.72,2.5329837765060454
173,1.73,2.789329457664749
174,1.74,2.9468617521860647
175,1.75,3.0
176,1.76,2.9468617521860683
177,1.77,2.7893294576647563
178,1.78,2.532983776506044
179,1.79,2.1869058822642424
180,1.8,1.7633557568774227
181,1.81,1.2773378746952149
182,1.82,0.7460696614945744
183,1.83,0.18837155858794308
184,1.84,-0.3759997006929172
185,1.85,-0.9270509831248334
